epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.7551,0.73419,2.62518,1.05583,0.8415,0.9159,0.94081,0.73984,0.60069,0.76568,0.99133,0.00163613,0.000545377,0.00163613,0.000545377,0.00163613,0.000545377,0.00163613,0.000545377
2,72.0549,0.61553,0.68733,0.96524,0.95232,0.97154,0.97433,0.80542,0.56561,0.46324,0.95959,0.00322138,0.00107379,0.00322138,0.00107379,0.00322138,0.00107379,0.00322138,0.00107379
3,93.3545,0.57966,0.54752,0.95577,0.96742,0.96748,0.98302,0.81209,0.58513,0.51732,0.98087,0.00472411,0.0015747,0.00472411,0.0015747,0.00472411,0.0015747,0.00472411,0.0015747
4,116.05,0.56685,0.45899,0.93979,0.9775,0.95413,0.97677,0.80564,0.58489,0.44685,0.97886,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
5,137.379,0.57026,0.44664,0.94612,0.98032,0.96341,0.98273,0.82235,0.56542,0.4153,0.9742,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
6,159.709,0.5492,0.40245,0.93583,0.97009,0.95784,0.98181,0.83206,0.54732,0.41613,0.9588,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
7,181.032,0.54311,0.41074,0.93824,0.97238,0.96748,0.97847,0.80698,0.58888,0.43754,0.9927,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
8,203.121,0.5345,0.38708,0.92276,0.97789,0.95607,0.98105,0.80069,0.61984,0.43715,0.99858,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
9,224.882,0.53968,0.37558,0.92218,0.97906,0.96995,0.98258,0.82016,0.59164,0.40451,0.99339,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
10,246.779,0.53336,0.38877,0.9246,0.97363,0.97012,0.97536,0.81609,0.58607,0.42133,0.99316,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
11,268.398,0.52355,0.36354,0.91819,0.9859,0.95473,0.98319,0.82898,0.57094,0.39805,0.97521,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
12,290.03,0.52672,0.36776,0.92196,0.95318,0.96849,0.97812,0.81835,0.5833,0.40177,0.9882,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
13,312.079,0.50881,0.35136,0.90915,0.97101,0.96222,0.98169,0.82197,0.58629,0.38937,0.99281,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
14,333.444,0.50224,0.34584,0.90702,0.97847,0.95347,0.97909,0.83127,0.56501,0.41764,0.98076,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
15,355.92,0.49055,0.33238,0.90476,0.96777,0.96058,0.9807,0.82532,0.5685,0.41689,0.9834,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
16,377.147,0.4888,0.33755,0.89732,0.96505,0.96748,0.98343,0.83082,0.56592,0.3913,0.98853,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
17,399.35,0.49368,0.33345,0.90554,0.96413,0.96852,0.97877,0.83157,0.56254,0.39436,0.98191,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
18,420.357,0.47827,0.31982,0.88907,0.96852,0.97154,0.97961,0.83516,0.56011,0.37756,0.97701,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
19,442.541,0.48022,0.32328,0.89061,0.97838,0.96341,0.97807,0.83016,0.55456,0.36818,0.99343,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
20,463.436,0.45554,0.31073,0.88177,0.98578,0.95935,0.97951,0.83452,0.54665,0.38042,0.986,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093
21,485.191,0.44726,0.30299,0.88294,0.98422,0.9465,0.97864,0.83839,0.53396,0.37735,0.96626,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
22,506.379,0.46777,0.30961,0.88751,0.98017,0.96341,0.97318,0.83668,0.54879,0.3949,0.97363,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577
23,528.203,0.46647,0.30544,0.89054,0.97736,0.95935,0.97581,0.83224,0.55918,0.40826,0.98337,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
24,549.061,0.44245,0.29335,0.87051,0.97744,0.94715,0.97737,0.83472,0.55851,0.42182,0.99253,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806
25,570.789,0.44379,0.29582,0.88022,0.97097,0.96223,0.97796,0.82912,0.5604,0.42086,0.99285,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
26,591.575,0.43616,0.28218,0.87231,0.97133,0.96113,0.97928,0.82979,0.56846,0.42363,1.00435,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544
27,613.603,0.43441,0.28377,0.876,0.96801,0.96341,0.98019,0.8373,0.56855,0.42072,1.00594,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
28,634.444,0.43315,0.28776,0.87096,0.98334,0.94012,0.97862,0.83902,0.55324,0.41819,0.99466,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027
29,656.438,0.41762,0.2798,0.87004,0.97789,0.95122,0.98021,0.84347,0.55774,0.41287,0.99847,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
30,677.986,0.4114,0.2687,0.86451,0.98105,0.96341,0.98253,0.84956,0.55483,0.40541,1.00166,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511
31,701.765,0.383,0.24615,0.8519,0.98176,0.95389,0.98069,0.84419,0.55465,0.38861,0.99575,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
32,723.199,0.38444,0.23753,0.8574,0.98037,0.96263,0.98293,0.84601,0.5535,0.36682,0.99515,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994
33,744.128,0.36917,0.22742,0.84763,0.97692,0.96279,0.98215,0.83752,0.55523,0.37698,0.99997,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
34,765.392,0.36819,0.22964,0.847,0.97268,0.95528,0.97853,0.83995,0.55988,0.3904,1.00835,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478
35,786.525,0.35499,0.22286,0.82928,0.97385,0.95528,0.97945,0.83897,0.55991,0.37791,1.00714,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
36,807.072,0.35398,0.22151,0.84525,0.97061,0.95514,0.97964,0.83878,0.54784,0.37253,1.00045,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961,0.000668884,0.000222961
37,828.403,0.34889,0.21843,0.83773,0.97929,0.95122,0.97886,0.84208,0.55098,0.37297,1.003,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
38,849.023,0.34736,0.21577,0.83903,0.97616,0.95122,0.97764,0.83972,0.54867,0.37539,1.00066,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445,0.000421334,0.000140445
39,870.515,0.34314,0.21373,0.83352,0.9759,0.95048,0.97782,0.84292,0.54894,0.38632,0.99732,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
40,891.279,0.33634,0.20846,0.83192,0.97555,0.95472,0.97767,0.84808,0.5443,0.38318,0.99571,0.000173785,5.79283e-05,0.000173785,5.79283e-05,0.000173785,5.79283e-05,0.000173785,5.79283e-05
